E,N,y,x
2666844.341,1230494.857,666843.54,230494.95
2669482.349,1233329.452,669481.54,233329.54
2673283.531,1231271.518,673282.736,231271.635
2668974.868,1236014.548,668974.04,236014.64
2672017.43,1236796.449,672016.6,236796.55
2673625.114,1234821.05,673624.28,234821.17
2673698.872,1233763.907,673698.07,233764.03
2668740.62,1238848.455,668739.81,238848.53
2668677.575,1242473.772,668676.72,242473.85
2671160.755,1240962.773,671159.92,240962.86
2671966.346,1239913.823,671965.5,239913.93
2674346.813,1238190.869,674345.98,238191.01
2674867.327,1240390.248,674866.48,240390.44
2667537.088,1243019.719,667536.25,243019.78
2667743.543,1246483.123,667742.64,246483.25
2670091.733,1245359.31,670090.87,245359.45
2669549.75,1243586.129,669548.9,243586.24
2672300.313,1246201.8,672299.44,246201.96
2673773.984,1247488.192,673773.04,247488.34
2673432.869,1245400.953,673432,245401.09
2671289.765,1242401.241,671288.9,242401.38
2672797.447,1244351.267,672796.58,244351.41
2673432.723,1242654.646,673431.87,242654.79
2673885.568,1241816.367,673884.69,241816.6
2673982.135,1241170.252,673981.25,241170.45
2675626.679,1241791.883,675625.85,241792.09
2760148.18,1259425.09,760147.67,259425.5
2755675.14,1257913.69,755674.67,257914.1
2759632.99,1256136.11,759632.57,256136.63
2756332.52,1254876.66,756332,254877.13
2752011.85,1256869.81,752011.29,256870.21
2753805.85,1253578.48,753805.32,253578.9
2748925.39,1254229.92,748924.83,254230.32
2746126.68,1252841.5,746126.09,252841.91
2748806.93,1251502.37,748806.32,251502.75
2753215.83,1249814.34,753215.29,249814.69
2756370.25,1248432.83,756369.87,248433.15
2757495.66,1251773.16,757495.29,251773.54
2741180.53,1251540.5,741179.88,251540.83
2743197.82,1249153.84,743197.15,249154.24
2740235.42,1249895.35,740234.73,249895.69
2738273.86,1252219.32,738273.16,252219.62
2734857.4,1250413.52,734856.67,250413.82
2737118.44,1247741.79,737117.71,247742.11
2740367.21,1247289.06,740366.53,247289.39
2733252.57,1248173.98,733251.87,248174.29
2735236.5,1244196.5,735235.79,244196.82
2739028.03,1244413.54,739027.34,244413.85
2733372.2,1241389.58,733371.53,241389.88
2739003.99,1239957.57,739003.32,239957.91
2733908.57,1238900.17,733907.8,238900.44
2735481.97,1236031.34,735481.17,236031.57
2739063.92,1235150.1,739063.26,235150.33
2741069.08,1236693.34,741068.44,236693.6
2741367.42,1234676.54,741366.83,234676.76
2744169.78,1234918.22,744169.15,234918.52
2763466.04,1255272.18,763465.73,255272.55
2760613.29,1251783.98,760612.91,251784.25
2746989.86,1248045.19,746989.19,248045.64
2750117.71,1247296.68,750117.12,247297.03
2753461.95,1245524.01,753461.4,245524.39
2756839.43,1245869.62,756838.94,245869.98
